1,1347 Capital Corp.,TFSC,9.43,$56.09M,56090000,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc
2,1347 Property Insurance Holdings Inc.,PIH,7.66,$48.7M,48700000,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
3,1-800 FLOWERS.COM Inc.,FLWS,10.32,$667.78M,667780000,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
4,1st Century Bancshares Inc,FCTY,6.774,$68.73M,68730000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
5,1st Constitution Bancorp (NJ),FCCY,11.18,$79.77M,79770000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
6,1st Source Corporation,SRCE,31.31,$747.13M,747130000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
7,21Vianet Group Inc.,VNET,18.33,$1.2B,1200000000,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
8,2U Inc.,TWOU,17.62,$714.35M,714350000,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
9,3X Inverse Gold ETN Velocityshares,DGLD,72.22,$9.82M,9820000,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld
10,51job Inc.,JOBS,33.77,$1.99B,1990000000,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
11,6D Global Technologies Inc.,SIXD,8.52,$660.94M,660940000,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd
12,8x8 Inc,EGHT,7.62,$684.79M,684790000,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
13,A V Homes Inc.,AVHI,15.13,$334.32M,334320000,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
14,A. Schulman Inc.,SHLM,40.3,$1.17B,1170000000,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
15,AAON Inc.,AAON,23.74,$1.29B,1290000000,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
16,ABAXIS Inc.,ABAX,60.17,$1.36B,1360000000,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
17,Abengoa Yield plc,ABY,34.73,$2.78B,2780000000,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby
18,Abengoa S.A.,ABGB,17.53,$2.94B,2940000000,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb
19,ABIOMED Inc.,ABMD,60.35,$2.48B,2480000000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
20,Abraxas Petroleum Corporation,AXAS,3.16,$332.99M,332990000,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
21,Acacia Research Corporation,ACTG,12.83,$643.05M,643050000,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
22,Acadia Healthcare Company Inc.,ACHC,63.795,$4.21B,4210000000,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
23,ACADIA Pharmaceuticals Inc.,ACAD,37.45,$3.74B,3740000000,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
24,Acasti Pharma Inc.,ACST,0.5592,$59.52M,59520000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
25,Accelerate Diagnostics Inc.,AXDX,18.05,$805.21M,805210000,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
26,Acceleron Pharma Inc.,XLRN,39.98,$1.29B,1290000000,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
27,Access National Corporation,ANCX,17.98,$187.93M,187930000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
28,Accuray Incorporated,ARAY,8.04,$631.05M,631050000,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
29,AcelRx Pharmaceuticals Inc.,ACRX,8.13,$355.34M,355340000,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
30,Aceto Corporation,ACET,20.95,$609.83M,609830000,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
31,Achaogen Inc.,AKAO,11.47,$203.68M,203680000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
32,Achillion Pharmaceuticals Inc.,ACHN,12.16,$1.39B,1390000000,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
33,ACI Worldwide Inc.,ACIW,20.46,$2.35B,2350000000,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
34,ACNB Corporation,ACNB,20.25,$121.73M,121730000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
35,Acorda Therapeutics Inc.,ACOR,37.41,$1.57B,1570000000,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
36,Acorn Energy Inc.,ACFN,0.6124,$16.21M,16210000,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn
37,Actions Semiconductor Co. Ltd.,ACTS,1.59,$136.74M,136740000,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
38,Active Power Inc.,ACPW,1.83,$42.26M,42260000,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
39,Activision Blizzard Inc,ATVI,23.31,$16.76B,16760000000,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
40,Actua Corporation,ACTA,15.37,$623.74M,623740000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
41,Acura Pharmaceuticals Inc.,ACUR,0.63,$29.51M,29510000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
42,Acxiom Corporation,ACXM,19.66,$1.52B,1520000000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
43,Adamas Pharmaceuticals Inc.,ADMS,17.28,$295.93M,295930000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
44,Adamis Pharmaceuticals Corporation,ADMP,6.51,$84.32M,84320000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
45,Addus HomeCare Corporation,ADUS,21.4,$235.18M,235180000,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
46,ADDvantage Technologies Group Inc.,AEY,2.4568,$24.67M,24670000,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
47,Adept Technology Inc.,ADEP,6.5,$85.17M,85170000,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep
48,ADMA Biologics Inc,ADMA,10.48,$97.38M,97380000,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
49,Adobe Systems Incorporated,ADBE,78.55,$39.14B,39140000000,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
50,ADTRAN Inc.,ADTN,23,$1.25B,1250000000,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
51,Advanced Accelerator Applications S.A.,AAAP,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaap
52,Advanced Energy Industries Inc.,AEIS,26.53,$1.06B,1060000000,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
53,Advanced Micro Devices Inc.,AMD,3.06,$2.37B,2370000000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
54,Advaxis Inc.,ADXS,8.22,$194.36M,194360000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
55,Advent Software Inc.,ADVS,44.17,$2.31B,2310000000,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs
56,Advisorshares Trust-Advisorshares Sunrise Global Multi-Strateg,MULT,23.25,$2.33M,2330000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mult
57,AdvisorShares YieldPro ETF,YPRO,23.94,$68.23M,68230000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro
58,Aegerion Pharmaceuticals Inc.,AEGR,26.49,$753.27M,753270000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
59,Aegion Corp,AEGN,16.66,$622.78M,622780000,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
60,Aehr Test Systems,AEHR,2.39,$30.67M,30670000,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
61,Aemetis Inc,AMTX,4.42,$91.11M,91110000,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
62,AEP Industries Inc.,AEPI,51.32,$260.74M,260740000,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
63,Aerie Pharmaceuticals Inc.,AERI,27.71,$664.61M,664610000,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
64,AeroVironment Inc.,AVAV,27.88,$650.21M,650210000,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
65,AEterna Zentaris Inc.,AEZS,0.601,$39.37M,39370000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
66,Affimed N.V.,AFMD,5.43,$130.23M,130230000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
67,Affymetrix Inc.,AFFX,11.84,$871.23M,871230000,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx
68,Agenus Inc.,AGEN,5.2,$325.96M,325960000,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
69,Agile Therapeutics Inc.,AGRX,9.47,$189.51M,189510000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
70,Agilysys Inc.,AGYS,9.87,$225.26M,225260000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
71,Agios Pharmaceuticals Inc.,AGIO,106.3,$3.93B,3930000000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
72,Air Methods Corporation,AIRM,45.6,$1.79B,1790000000,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
73,Air T Inc.,AIRT,19.81,$46.95M,46950000,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
