GKS001|P001|2|GV007|2020-04-01||INR
GKS002|P002|3|GV018|2020-04-01||INR
GKS003|P003||GV003|2020-04-01||INR
GKS004|P004|6|GV018|2020-04-01||INR
GKS005|P006|2|GV002|2020-04-02||INR
GKS006|P101|2|GV007|2020-04-03||USD
GKS007|P102|2|GV107|2020-04-03||USD
GKS008|P101||GV107|2020-04-03||USD
GKS009|P102|7|GV102|2020-04-03||USD
GKS010|P105|2||2020-04-03||USD
GKS011|P004|5|GV003|2020-04-03||INR
GKS012|P004|10|GV018|2020-04-03||INR
GKS013|P004|1|GV002|2020-04-04||INR
GKS014|P001|1|GV007|2020-04-05||INR
GKS015|P002|15|GV007|2020-04-05||INR
GKS016|P006|8|GV007|2020-04-05||INR
GKS017|P007|16|GV003|2020-04-05||INR
GKS018|P005||GV012|2020-04-06||INR
GKS019|P005|8|GV001|2020-04-07||INR
GKS020|P005|4|GV003|2020-04-07||INR
