Order Line,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.582
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0,5.0596
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0,15.6884
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0,11.7741
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0,3.894
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,TEC-AC-10000171,45.98,2,0,19.7714
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,OFF-BI-10003291,17.46,2,0,8.2062
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0,8.4784
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-AC-10002167,45,3,0,4.95
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0,6.104
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0,17.9634
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0,35.3346
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0,2.9568
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0,17.0981
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0,6.2566
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-ST-10000604,208.56,6,0,52.14
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10001569,32.4,5,0,15.552
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-PA-10000587,14.56,2,0,6.9888
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,TEC-AC-10002167,30,2,0,3.3
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-AR-10001868,1.68,1,0,0.84
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0,6.1512
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0,68.9631
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0,22.3328
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,OFF-PA-10000482,75.88,2,0,35.6636
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0,8.763
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-AP-10002118,208.16,1,0,56.2032
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-BI-10002309,16.74,3,0,8.0352
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0,4.172
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0,6.2031
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0,33.2156
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0,6.7966
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0,2.9568
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0,6.633
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782
